转债代码,转债名称,股票代码,股票名称,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌.1,剩余本息,转股价格,转股溢价率,转股价值,距离转股日,剩余年限,回售年限,转债余额,转债成交额,转债换手率,余额/市值,余额/股本,股票市值,P/B,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,老式双低,老式排名,新式双低,新式排名,热门度,日期
123078,飞凯转债!!,300398,飞凯材料,化工,化工,151,0.00%,-1.23%,17.69,-1.99%,114.9,15.49,32.20%,114.2,已到,4年35天,2年35天,6.18,88,9.40%,6.60%,7.60%,94,2.79,-6.58%,-7.16%,-11.80%,-12.00%,95.14,99,0.62,AA,3.79%,187.8,383,88.8,372,9,2022/10/21
113609,永安转债!,603776,永安行,城市公用设施,其他,114.889,0.57%,-0.24%,14.65,0.69%,120.1,16.38,28.50%,89.44,已到,4年32天,2年32天,7.34,32,3.80%,21.50%,19.20%,34,1.06,1.11%,0.26%,-4.59%,-4.87%,91.04,95.55,0.47,AA-,5.89%,140.3,45,44.8,64,31,2022/10/21
123077,汉得转债!,300170,汉得信息,计算机及应用,软件开发,120.25,0.02%,0.61%,7.95,2.05%,125.1,9.82,48.50%,80.96,已到,4年31天,2年31天,9.37,15,1.30%,13.70%,11.10%,69,1.94,0.99%,-0.04%,-6.53%,-6.79%,95.21,107.81,0.31,AA,3.79%,159.5,212,51.7,110,16,2022/10/21
110077,洪城转债,600461,洪城环境,城市公用设施,城市公用设施行业,130.273,-1.01%,0.83%,7.39,-0.27%,113.3,6.21,9.50%,119,已到,4年28天,2年28天,17.7,46,2.00%,23.00%,27.40%,77,1.26,-3.41%,-3.97%,-10.30%,-10.50%,94.95,99.48,0.65,AA+,3.29%,141.5,52,42.1,54,7,2022/10/21
123076,强力转债!,300429,强力新材,化工,化工,106.725,-0.12%,0.04%,8.13,-1.57%,118.1,18.9,148%,43.02,已到,4年27天,2年27天,8.5,2.6,0.30%,20.30%,8.70%,42,2.25,2.57%,1.77%,-1.40%,-1.69%,91.11,94.04,0.05,AA-,5.89%,170.4,318,76.4,317,28,2022/10/21
128138,侨银转债!,2973,侨银股份,城市公用设施,城市公用设施行业,118.866,-0.09%,0.08%,11.6,-0.34%,136.1,25.23,159%,45.98,已到,4年25天,2年25天,4.2,4.4,0.90%,8.90%,4.10%,47,2.7,3.46%,2.05%,-5.85%,-6.16%,91.66,108.4,0.04,AA-,5.89%,191.8,389,83.4,349,32,2022/10/21
113608,威派转债!,603956,威派格,机械装备制造,专用设备,110.594,-0.03%,0.13%,9.3,0.76%,121.1,17.72,111%,52.48,已到,4年17天,2年17天,4.2,1.8,0.40%,8.90%,4.70%,47,2.33,2.33%,1.41%,-2.73%,-3.07%,89.82,92.82,0.14,A+,6.99%,168.7,305,75.9,307,15,2022/10/21
127025,冀东转债!,401,冀东水泥,建筑,水泥,109.8,-0.22%,0.10%,8.26,-0.48%,109.9,13.26,76.30%,62.29,已到,4年13天,2年13天,17.8,11,0.60%,8.10%,5.00%,220,0.72,0.02%,-0.43%,-3.03%,-3.25%,96.05,97.42,0.25,AAA,3.09%,157.3,189,59.9,173,10,2022/10/21
127024,盈峰转债!,967,盈峰环境,机械装备制造,专用设备,107.45,-0.05%,-0.04%,4.78,-0.83%,116.6,8.09,81.90%,59.09,已到,4年12天,2年12天,14.8,3,0.20%,9.70%,5.70%,152,0.91,2.09%,1.34%,-1.87%,-2.14%,96.08,102.6,0.11,AA+,3.29%,155.8,169,53.2,116,12,2022/10/21
128137,洁美转债,2859,洁美科技,电子,元器件制造,123.4,1.29%,-2.33%,23.03,-2.37%,116.9,27.43,47.00%,83.96,已到,4年12天,2年12天,5.99,36,4.80%,6.30%,5.30%,94,4.44,-1.36%,-2.08%,-7.79%,-8.06%,91.3,93.3,0.44,AA-,5.89%,162.8,247,69.5,255,6,2022/10/21
128136,立讯转债!,2475,立讯精密,电子,元器件制造,111.046,-0.18%,-0.05%,28.39,-2.44%,111.8,57.73,126%,49.18,已到,4年11天,2年11天,30,17,0.50%,1.50%,0.70%,2015,5.23,0.17%,-0.37%,-3.67%,-3.87%,95.3,98.31,0.1,AA+,3.29%,172.9,334,74.6,295,17,2022/10/21
110076,华海转债!,600521,华海药业,医药,医药行业,113.361,-0.48%,0.57%,20.5,0.44%,114.8,33.89,87.40%,60.49,已到,4年10天,2年10天,18.4,15,0.70%,6.10%,3.70%,304,4.43,0.32%,-0.34%,-4.18%,-4.46%,95.28,99.15,0.2,AA,3.79%,166.2,286,67.1,238,12,2022/10/21
123075,贝斯转债!,300580,贝斯特,汽车,零部件制造,118.737,-0.01%,1.05%,18.6,2.25%,115.1,23.56,50.40%,78.95,已到,4年10天,2年10天,6,9.5,1.30%,16.10%,12.70%,37,2.01,-0.79%,-1.45%,-6.15%,-6.42%,91.36,91.91,0.46,AA-,5.89%,158.5,201,66.6,236,10,2022/10/21
113606,荣泰转债!,603579,荣泰健康,机械装备制造,专用设备,111.16,-0.64%,0.33%,19.73,-1.25%,120.7,32.15,81.10%,61.37,已到,4年7天,2年7天,6,4.6,0.70%,21.70%,13.30%,28,1.6,2.12%,1.21%,-3.20%,-3.50%,91.57,96.45,0.24,AA-,5.89%,161,226,64.5,220,16,2022/10/21
113605,大参转债!,603233,大参林,医药,医药商业,113.841,-0.07%,0.21%,37.2,0.65%,114.9,57.13,74.80%,65.11,已到,3.998年,1.998年,14,14,0.90%,4.00%,2.60%,353,6.28,0.10%,-0.54%,-4.62%,-4.86%,94.89,98.76,0.22,AA,3.79%,162.6,241,63.8,210,12,2022/10/21
123071,天能转债!!,300569,天能重工,能源电力,风能,157.24,0.22%,4.37%,10.47,6.51%,120.7,7.76,16.50%,134.92,已到,3.996年,1.996年,6.94,1218,107%,8.20%,11.10%,85,2.25,-6.63%,-7.41%,-13.80%,-13.90%,91.09,95.97,0.71,AA-,5.89%,179.6,363,83.6,351,12,2022/10/21
123072,乐歌转债!,300729,乐歌股份,其他,家居用品,127.162,-0.50%,0.32%,17.43,-3.11%,129.1,48.98,257%,35.59,已到,3.996年,1.996年,1.42,7.5,4.10%,3.70%,1.30%,39,1.92,0.23%,-0.92%,-8.40%,-8.82%,91.21,98.77,0.06,A+,6.99%,218.7,404,120,404,22,2022/10/21
128135,洽洽转债!,2557,洽洽食品,食品饮料,休闲食品,120.606,0.38%,-0.43%,41.2,-0.24%,119.3,59.18,73.20%,69.62,已到,3.99年,1.99年,13.4,1.7,0.10%,6.40%,4.50%,209,4.58,-0.28%,-1.11%,-7.16%,-7.39%,94.91,103.09,0.2,AA,3.79%,171.6,328,68.5,243,11,2022/10/21
127022,恒逸转债!,703,恒逸石化,化工,化工,110.871,-0.13%,0.07%,7.11,-0.28%,108.3,11,71.50%,64.64,已到,3.98年,1.98年,20,6.9,0.30%,7.70%,5.00%,261,0.94,-0.60%,-0.98%,-3.79%,-3.97%,95.22,95.37,0.19,AA+,3.29%,157.1,184,61.7,193,7,2022/10/21
110075,南航转债,600029,南方航空,交通运输,航空运输,134.648,0.40%,2.03%,6.84,4.11%,109.4,6.2,22.00%,110.32,已到,3.98年,1.98年,59,46,0.60%,5.00%,5.50%,1185,2.06,-5.14%,-5.54%,-12.30%,-12.40%,95.24,97.06,0.59,AAA,3.09%,159,205,61.9,195,8,2022/10/21
113604,多伦转债!,603528,多伦科技,计算机及应用,软件开发,107.475,-0.02%,0.07%,6.57,0.15%,116.3,10.4,70.10%,63.17,已到,3.97年,1.97年,6.4,4.9,0.70%,15.60%,9.90%,41,2.77,2.04%,1.30%,-2.06%,-2.31%,91.01,93.02,0.28,AA-,5.89%,151.8,129,58.8,160,26,2022/10/21
128134,鸿路转债!,2541,鸿路钢构,建筑,其他建材,124.095,-0.04%,-1.01%,30.64,-2.33%,114.3,33.22,34.50%,92.23,已到,3.96年,1.96年,15.7,26,1.30%,7.40%,6.90%,211,2.89,-2.09%,-2.71%,-8.50%,-8.73%,95.02,98.89,0.45,AA,3.79%,156,171,57.1,148,5,2022/10/21
128133,奇正转债!,2287,奇正藏药,医药,中药,123.62,-0.09%,0.29%,23.1,0.43%,116.3,24.19,29.50%,95.49,已到,3.92年,1.92年,7.99,7.5,0.80%,6.50%,6.20%,122,4.15,-1.57%,-2.29%,-8.51%,-8.74%,95.18,100.79,0.47,AA,3.79%,151.7,128,51,106,22,2022/10/21
123067,斯莱转债!,300382,斯莱克,机械装备制造,专用设备,248,3.90%,0.94%,23.79,5.22%,120,9.96,3.80%,238.86,已到,3.90年,1.90年,2.4,1496,254%,1.60%,3.80%,149,10.06,-17.20%,-17.90%,-25.10%,-25.20%,91.49,96.39,0.93,AA-,5.89%,257.1,413,160.8,412,13,2022/10/21
128132,交建转债!,2941,新疆交建,建筑,建筑工程,110.7,-0.03%,0.04%,12.16,0.08%,116.3,18.43,67.80%,65.98,已到,3.90年,1.90年,8.49,13,1.40%,10.80%,7.10%,78,2.94,1.30%,0.55%,-3.54%,-3.79%,95.25,100.87,0.17,AA,3.79%,155.4,161,54.6,124,29,2022/10/21
128131,崇达转2!,2815,崇达技术,电子,元器件制造,113.143,-0.12%,-0.05%,10.65,-1.75%,114.3,18.87,100%,56.44,已到,3.88年,1.88年,14,2.3,0.10%,14.80%,8.30%,95,2.07,0.27%,-0.40%,-4.61%,-4.86%,95.33,99.22,0.1,AA,3.79%,169.8,314,70.6,263,12,2022/10/21
123065,宝莱转债!,300246,宝莱特,医药,医疗器械,117.193,-0.26%,0.20%,14.72,-0.74%,120.3,36.32,189%,40.53,已到,3.87年,1.87年,2.19,4.4,1.70%,8.50%,3.40%,26,1.86,0.69%,-0.21%,-6.08%,-6.37%,91.95,96.86,0.08,AA-,5.89%,193.9,391,97,386,31,2022/10/21
123064,万孚转债!,300482,万孚生物,医药,医疗器械,113.097,-1.35%,1.23%,31.68,-0.60%,114.3,51.73,84.70%,61.24,已到,3.86年,1.86年,5.98,22,3.20%,4.20%,2.60%,141,3.26,0.28%,-0.39%,-4.63%,-4.88%,95.38,99.28,0.19,AA,3.79%,165,274,65.7,227,20,2022/10/21
128130,景兴转债,2067,景兴纸业,造纸包装印刷,包装用纸,118.89,0.12%,0.18%,3.46,0.58%,114.3,3.4,16.80%,101.76,已到,3.86年,1.86年,9.99,8.5,0.70%,24.20%,24.60%,41,0.76,-1.03%,-1.69%,-6.97%,-7.21%,95.39,99.29,0.51,AA,3.79%,136,23,36.7,27,24,2022/10/21
128129,青农转债!,2958,青农商行,金融,银行行业,102.216,-0.08%,-0.10%,2.9,-0.68%,111.6,4.22,48.70%,68.72,已到,3.84年,无权,50,17,0.30%,31.00%,21.30%,161,0.54,2.35%,1.78%,无权,无权,无权,99.47,0.26,AAA,3.09%,135.7,22,36.2,25,34,2022/10/21
